case,bytes,category,profile,mode,engine,strict_all_six,ns,round_min_ns,round_max_ns,speed_relative_to_v2
legacy-docs-adr-readme-theme-composition,1532,technical-docs,gfm,fresh,v1,no,2318.8529105897405,2296.7350006261004,2403.9424347478034,0.6934628379577572
legacy-docs-adr-readme-theme-composition,1532,technical-docs,gfm,fresh,md4c,no,3847.2916826923074,3815.102229420732,3865.9632042388102,0.41796631313872024
legacy-docs-adr-readme-theme-composition,1532,technical-docs,gfm,fresh,pulldown-cmark,no,3511.017133626625,3463.660664819945,3526.2782130281694,0.4579978561720035
legacy-docs-adr-readme-theme-composition,1532,technical-docs,gfm,fresh,bun,no,7714.59747746349,7657.885575457317,7722.7514355165495,0.2084409879947333
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v2,no,756.7943059821571,755.5834331175905,763.3961551121212,1.0
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,ox-content,no,809.8949809207015,807.1190856494361,811.1666798375547,0.9344351104902777
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,v1,no,1009.6168088243587,1001.2393454527244,1011.0981334529283,0.7495856837639232
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,md4c,no,1991.6733180732485,1991.3726363455414,1998.8445487220447,0.37997913569193287
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,pulldown-cmark,no,1334.5683329489216,1323.1915509259259,1336.5098841747508,0.5670704806174374
rust-book-ch03-04-comments,393,technical-docs,gfm,fresh,bun,no,2572.0652797714865,2561.411736546754,2596.305588622844,0.29423604133771986
rust-book-appendix-02-operators,22595,reference,gfm,fresh,v2,no,50702.265625,50198.36,51145.859375,1.0
rust-book-appendix-02-operators,22595,reference,gfm,fresh,ox-content,no,50415.780625,50272.916874999995,50889.0625,1.0056824469729213
rust-book-appendix-02-operators,22595,reference,gfm,fresh,v1,no,58751.45028409091,58122.27769886363,58756.56960227273,0.8629959835856083
rust-book-appendix-02-operators,22595,reference,gfm,fresh,md4c,no,81346.55859375,81042.27734375,81933.4716796875,0.6232871617619427
rust-book-appendix-02-operators,22595,reference,gfm,fresh,pulldown-cmark,no,65423.4703125,64056.86796875,65475.0,0.7749858786581775
