case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
rust-book-appendix-02-operators,reference,10–50 KiB,22595,gfm,serialization-equivalent,fresh,61.586371794871795,56.20008705357143,1.0935895719891153,1.07567018455319,1.1262399762295627,v2
rust-book-appendix-02-operators,reference,10–50 KiB,22595,gfm,serialization-equivalent,owned,59.7265625,55.26553415697674,1.0787427261938864,1.0562654096295907,1.0820323535334775,v2
rust-book-appendix-02-operators,reference,10–50 KiB,22595,gfm,serialization-equivalent,reuse,59.0328125,55.16215479651163,1.0661719041744644,1.0512749553327387,1.0803783263503832,v2
rust-book-ch00-00-introduction,technical-docs,10–50 KiB,10839,gfm,exact,fresh,18.9273142641129,15.512815378289472,1.217884862185147,1.207518676041454,1.222441952026522,v2
rust-book-ch00-00-introduction,technical-docs,10–50 KiB,10839,gfm,exact,owned,17.391087962962963,15.003566281847133,1.1552955944834564,1.1402051458039906,1.1664284596986796,v2
rust-book-ch00-00-introduction,technical-docs,10–50 KiB,10839,gfm,exact,reuse,16.420272290209788,14.927561313291138,1.0999218798210266,1.0930025795153995,1.1073848063866232,v2
rust-book-ch17-00-async-await,technical-docs,2–10 KiB,9734,gfm,exact,fresh,13.040234375,8.795153558052434,1.4767346490546096,1.460538284658156,1.4989982578543122,v2
rust-book-ch17-00-async-await,technical-docs,2–10 KiB,9734,gfm,exact,owned,11.943964149746192,8.222779173951048,1.452979512536231,1.4284751274169305,1.4710065807466668,v2
rust-book-ch17-00-async-await,technical-docs,2–10 KiB,9734,gfm,exact,reuse,11.32041887019231,8.182613784843205,1.3866791803845941,1.3709614275731437,1.3942914391814372,v2
vue-docs-ways-of-using-vue,technical-docs,2–10 KiB,5883,gfm,heading-id-only,fresh,9.214966299019608,7.8269921875,1.177756446788253,1.1689712130703502,1.1848508207044786,v2
vue-docs-ways-of-using-vue,technical-docs,2–10 KiB,5883,gfm,heading-id-only,owned,8.321411458333333,7.386419811320755,1.1268145321806995,1.1194931086344582,1.144411845917973,v2
vue-docs-ways-of-using-vue,technical-docs,2–10 KiB,5883,gfm,heading-id-only,reuse,8.123738429930796,7.306740070093458,1.1115216493128346,1.0986996862492058,1.1259763297424623,v2
vue-docs-suspense,technical-docs,2–10 KiB,8291,gfm,serialization-equivalent,fresh,17.971771708015268,11.455411585365853,1.5751191269049276,1.5549444389260707,1.5875281825847432,v2
vue-docs-suspense,technical-docs,2–10 KiB,8291,gfm,serialization-equivalent,owned,16.285735026041667,10.81259591013825,1.4995753803837615,1.4885943365910284,1.5207496541233292,v2
vue-docs-suspense,technical-docs,2–10 KiB,8291,gfm,serialization-equivalent,reuse,15.575969163907285,10.837425547235023,1.4333205950753114,1.4193731446909355,1.4442681668344006,v2
vue-docs-slots,technical-docs,10–50 KiB,24211,gfm,different,fresh,60.70078766025642,39.79930243644068,1.5165316924260164,1.3407618810169706,1.6395661005259858,v2
vue-docs-slots,technical-docs,10–50 KiB,24211,gfm,different,owned,56.52061681547619,39.271310416666665,1.4484791543925528,1.3571877804393835,1.53902175145883,v2
vue-docs-slots,technical-docs,10–50 KiB,24211,gfm,different,reuse,56.99197098214285,39.54479166666666,1.4042042758899516,1.2917817340602467,1.6201945304574452,v2
vue-docs-reactivity-in-depth,technical-docs,10–50 KiB,24001,gfm,different,fresh,41.465574561403514,33.061619718309856,1.2610534578489405,1.2115880496562366,1.315270648557392,v2
vue-docs-reactivity-in-depth,technical-docs,10–50 KiB,24001,gfm,different,owned,38.74694723360656,32.06158488175676,1.2090915861150078,1.181557836770811,1.2524154539794743,v2
vue-docs-reactivity-in-depth,technical-docs,10–50 KiB,24001,gfm,different,reuse,38.063171875,32.068359375,1.1855372091277303,1.1572821917522853,1.269244420362448,v2
vite-docs-philosophy,technical-docs,2–10 KiB,3575,gfm,serialization-equivalent,fresh,6.34321858108108,4.722430960764587,1.3434139423376004,1.3313561177490156,1.3569979442653741,v2
vite-docs-philosophy,technical-docs,2–10 KiB,3575,gfm,serialization-equivalent,owned,5.453794186046512,4.416274305555556,1.2389478448087772,1.2260532363820809,1.246378686843579,v2
vite-docs-philosophy,technical-docs,2–10 KiB,3575,gfm,serialization-equivalent,reuse,5.217682291666667,4.3871957943925235,1.193627271661069,1.1851472268967507,1.2066500971204772,v2
vite-docs-performance,technical-docs,2–10 KiB,8184,gfm,serialization-equivalent,fresh,14.324973132621952,11.000097400700936,1.2959480832963333,1.2765418414032514,1.3127529318279085,v2
